"presup_id","presup_numero","presup_fecha_creacion","cliente_rut","presup_detalle","presup_neto_uf","presup_iva_uf","presup_total_uf","presup_neto_clp","presup_iva_clp","presup_total_clp","presup_enviado","presup_fecha_envio","presup_adjudicada","presup_oc_cliente","estatus_codigo","area_codigo"
"59","20200055","2020-11-26","76073293","Sistema Etiquetado Y Control Produccion Embaladoras","0","0","0","45580000","8660200","54240200","1","2020-11-30","0","0","5","1"
"60","20200056","2020-12-29","83156400","APU: Planimetria Hidraulico / Electrico","0","0","0","393321.99","74731.1781","468053.1681","1","2021-01-05","1","11810647","3","2"
"61","20210001","2021-01-04","83156400","APU: Regularizacion Estructural","0","0","0","571389","108563.91","679952.91","1","2021-01-05","1","11810647","3","2"
"63","20210002","2021-01-22","11111111","Central Hidraulica 5,5kW","0","0","0","9961369","1892660.11","11854029.11","1","2021-01-22","0","0","5","2"
"64","20210003","2021-01-22","76881519","Desarrollo Camion PreSplit ORICA","0","0","0","4015194","762886.86","4778080.86","1","2021-01-22","0","0","5","1"
"65","20210004","2021-01-29","83156400","APU","0","0","0","1208868","229684.92","1438552.92","1","2021-02-03","0","0","5","2"
"66","20210005","2021-02-04","76406396","Asesoria ODI ","0","0","0","58270","11071.3","69341.3","1","2021-02-04","1","0","3","4"
"67","20210006","2021-03-15","76406396","Asesoria Prevencion","0","0","0","58516","11118.04","69634.04","1","2021-03-15","1","0","3","4"
"68","20210007","2021-03-15","83156400","SUMINISTRO DE APU (UNIDAD DE POTENCIA AUXILIAR) PARA INTEGRACIÓN HIDRÁULICA-KOMATSU CUMMINS– SANTIAGO","0","0","0","1237","235.03","1472.03","1","2022-03-30","0","0","5","1"
"69","20210008","2021-03-15","83156400","Planimetria Banco de Pruebas Komatsu Antofagasta","0","0","0","2533459","481357.21","3014816.21","1","2021-03-15","1","21810359","3","2"
"70","20210009","2021-03-19","79775100","Monitoreo por Camara sobre Bulldozer","0","0","0","0","0","0","0","0000-00-00","0","0","5","3"
"71","20210010","2021-03-25","79775100","Suministro Equipos Anticolision","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"72","20210011","2021-03-26","83156400","Asesoria Estudio de Vibraciones Banco Komatsu","0","0","0","0","0","0","0","0000-00-00","0","0","5","2"
"73","20210012","2021-04-08","96939290","Actualizacion Hardware Servidor Sistema Gestion","0","0","0","2300000","437000","2737000","1","2021-04-28","0","0","5","1"
"74","20210013","2021-04-08","96939290","Mejoras Sistema de Gestion de Costos","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"75","20210014","2021-04-25","83156400","Asesoria Estructural Banco Komatsu Santiago","0","0","0","820000","155800","975800","1","2021-04-28","1","11811078","3","2"
"76","20210015","2021-04-27","96939290","Mejora de Performance Plataforma de Gestion","0","0","0","795000","151050","946050","1","2021-04-28","1","0","3","1"
"77","20210016","2021-04-27","96939290","Traslado Caseta Guardia","0","0","0","2989200","567948","3557148","1","0000-00-00","1","2147483647","3","1"
"78","20210017","2021-04-27","76764668","Demo Plataforma Logo y Scada","0","0","0","0","0","0","0","0000-00-00","0","0","0","1"
"79","20210018","2021-04-27","96939290","Servicio y Asistencias CCIPTV","0","0","0","545000","103550","648550","1","0000-00-00","1","0","3","1"
"80","20210019","2021-05-03","76859068","MCU Complemento de Software para control de Trasvasije","0","0","0","5500000","1045000","6545000","1","2021-05-03","1","485","3","1"
"81","20210020","2021-05-05","89070300","Mcu Complemento De Software Para Control De Trasvasije","0","0","0","5500000","1045000","6545000","1","2021-05-10","0","0","5","1"
"82","20210021","2021-05-12","83156400","PROYECCION DE DISPOSICION DE COMPONENTES Y ESTUDIO CENTRO DE CARGA.","0","0","0","1016730","193178.7","1209908.7","1","2021-05-17","0","0","5","2"
"83","20210022","2021-06-04","83156400","Suministro Equipos","0","0","0","690611","131216.09","821827.09","1","2021-06-07","1","11811197","3","2"
"84","20210023","2021-06-07","76593182","Suministro Tablero Electrico","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"85","20210024","2021-06-23","83156400","Suministro Calefactor Alimentacion 380","0","0","0","692239","131525.41","823764.41","1","2021-06-30","1","11811300","3","1"
"86","20210025","2021-06-30","76593182","Suministro Equipos MCU","0","0","0","122.72","23.3168","146.0368","1","2021-06-30","0","0","5","1"
"87","20210026","2021-08-02","83156400","Atril para Cabezal PV351 (EPIROC)","0","0","0","1274019","242063.61","1516082.61","1","2021-08-04","1","11811873","3","1"
"88","20210027","2021-08-02","11111111","Campana para Horno de Humos (ROSSO)","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"89","20210028","2021-08-02","11111111","Campana para Humos pesados (METRAIN SA)","0","0","0","1006.6","191.254","1197.854","1","0000-00-00","0","0","5","1"
"90","20210029","2021-08-04","77853060","Planimetria Gabinetes TI","0","0","0","400000","76000","476000","1","2021-08-04","1","96","3","1"
"91","20210030","2021-08-16","96939290","Desarrollo e integración modulo Presupuestos","0","0","0","108","20.52","128.52","1","2021-08-23","0","0","5","1"
"92","20210031","2021-08-19","83156400","Bosquejo Propuesta HPU 3kW","0","0","0","90000","17100","107100","1","2021-08-19","1","11811561","3","1"
"93","20210032","2021-08-29","11111111","Cinta Transportadora de Bandejas","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"94","20210033","2021-09-02","76764668","Aplicacion para Monitoreo y Alertas Temperatura.","0","0","0","0","0","0","0","0000-00-00","0","0","0","1"
"95","20210034","2021-09-03","83156400","Memoria Calculo Rack","0","0","0","890000","169100","1059100","1","2021-09-07","1","11811636","3","1"
"96","20210035","2021-09-06","96939290","Aumento Capacidad Circuito CCIPTV","0","0","0","3374280","641113.2","4015393.2","1","2021-09-09","1","2147483647","3","1"
"97","20210036","2021-09-09","77853060","Actualización Planos Gabinete TI","0","0","0","15.2","2.888","18.088","1","2021-09-28","1","117","3","1"
"98","20210037","2021-09-11","76859068","Programación Segundo Equipo","0","0","0","20.3","3.857","24.157","1","2021-09-28","1","0","3","1"
"99","20210038","2021-09-14","83156400","Sistema CC IPTV Talleres Lucas Sucursal Santiago","0","0","0","101","19.19","120.19","1","2021-10-13","0","0","5","1"
"100","20210039","2021-09-20","11111111","Servicio Ingenieria Regularización Planos y documentación","0","0","0","96","18.24","114.24","1","2021-09-20","0","0","1","1"
"101","20210040","2021-09-24","76067861","Cableado estructurado","0","0","0","139.2","26.448","165.648","0","0000-00-00","0","0","5","1"
"102","20210041","2021-09-28","76859068","Adicionales Complemento de Software MCU/RLU ORICA","0","0","0","36","6.84","42.84","1","2021-09-28","1","0","3","1"
"103","20210042","2021-10-14","96939290","TARJA RELOADED","0","0","0","110","20.9","130.9","1","2021-12-01","1","0","5","1"
"104","20210043","2021-10-19","77853060","Plano Canalizaciones","0","0","0","7","1.33","8.33","1","2021-10-20","1","122","3","1"
"105","20210044","2021-10-20","11111111","Tablero de Gestion y seguimiento a plataforma ODOO","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"106","20210045","2021-10-21","96939290","Mantención Camaras","0","0","0","38","7.22","45.22","1","2022-03-21","0","0","3","1"
"107","20210046","2021-10-26","77853060","Plano Tableros Aerogenerador","0","0","0","15.2","2.888","18.088","1","2021-11-03","1","128","3","1"
"108","20210047","2021-11-02","77081467","Integración y Planimetria Tablero Perforadora","0","0","0","28","5.32","33.32","1","2021-11-03","1","0","3","1"
"109","20210048","2021-11-03","77853060","Integración Tablero Aerogenerador","0","0","0","10","1.9","11.9","1","2022-03-09","0","0","5","1"
"110","20210049","2021-11-11","83156400","Adicional Bosquejo Propuesta Hpu 3Kw (RP","0","0","0","3","0.57","3.57","1","2021-11-11","1","11811965","3","1"
"111","20210050","2021-11-11","83156400","Fabricación HPU 3kW","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"112","20210051","2021-11-22","83156400","Planimetria Unidad enfriamiento","0","0","0","34","6.46","40.46","1","2021-12-01","1","11812038","3","1"
"113","20210052","2021-11-30","96939290","Suministro Equipos","0","0","0","40","7.6","47.6","1","2021-12-01","1","0","5","1"
"114","20210053","2021-12-03","77853060","Diseño Zocalo","0","0","0","3","0.57","3.57","1","2021-12-23","0","0","5","1"
"115","20210054","2021-12-09","83156400","UH Guillotina / Cilindro","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"116","20210055","2021-12-09","83156400","UH Movimiento Cilindro","0","0","0","181","34.39","215.39","1","2021-12-24","0","0","5","1"
"117","20210056","2021-12-13","76308092","RYR ANFO PLANT","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"118","20210057","2021-12-23","77853060","Fabricación Zocalo","0","0","0","0","0","0","1","2022-01-19","0","0","5","1"
"119","20210058","2021-12-29","77081467","Suministro Equipos","0","0","0","500000","95000","595000","1","2021-12-29","0","0","5","1"
"120","20220001","2022-01-10","76150453","Servicio Documentacion Prevencion","0","0","0","380000","72200","452200","1","2022-01-10","1","0","3","1"
"121","20220002","2022-01-17","83156400","Modificacion Plano Komatsu","0","0","0","1.2","0.228","1.428","1","2022-01-17","0","11812257","3","2"
"122","20220003","2022-01-17","83156400","Fabricación Atril Cabezal ","0","0","0","101","19.19","120.19","1","2022-01-19","0","0","5","1"
"123","20220004","2022-01-19","77081467","Planimetria Carrusel","0","0","0","39","7.41","46.41","1","2022-01-19","0","0","5","1"
